Poblacion;Zona Tarifaria;Sector;Tarifa Metropolitana
Riells i Viabrea;4;G;NO
Riner;7;C;NO
Ripoll;7;G;NO
Ripollet;2;C;SI
La Roca del Vallès;3;D;NO
Roda de Ter;6;F;NO
Rubí;2;C;NO
Rubió;6;B;NO
Rupit i Pruit;6;H;NO
Sabadell;2;C;NO
Sagas;7;E;NO
Saldes;7;F;NO
Sallent;6;E;NO
Sant Adrià de Besòs;1;;SI
Sant Agustí de Lluçanès;6;H;NO
Sant Andreu de la Barca;2;B;SI
Sant Andreu de Llavaneres;3;E;NO
Sant Antoni de Vilamajor;3;D;NO
Sant Bartomeu del Grau;6;F;NO
Sant Boi de Llobregat;1;;SI
Sant Boi de Lluçanès;6;H;NO
Sant Cebrià de Vallalta;4;H;NO
Sant Celoni;4;G;NO
Sant Climent de Llobregat;2;B;SI
Sant Cugat del Vallès;2;C;SI
Sant Cugat Sesgarrigues;4;B;NO
Sant Esteve de Palautordera;4;G;NO
Sant Esteve Sesrovires;3;B;NO
Sant Feliu de Codines;4;F;NO
Sant Feliu de Llobregat;1;;SI
Sant Feliu Sasserra;6;E;NO
Sant Fost de Campsentelles;2;D;NO
Sant Fruitós de Bages;6;D;NO
Sant Hipòlit de Voltregà;6;H;NO
Sant Iscle de Vallalta;4;H;NO
Sant Jaume de Frontanyà;7;F;NO
Sant Joan de les Abadesses;7;G;NO
Sant Joan de Vilatorrada;6;D;NO
Sant Joan Despí;1;;SI
Sant Julià de Cerdanyola;7;F;NO
Sant Julià de Vilatorta;6;F;NO
Sant Just Desvern;1;;SI
Sant Llorenç d'Hortons;3;B;NO
Sant Llorenç de Morunys;7;D;NO
Sant Llorenç Savall;3;C;NO
Sant Martí d'Albars;6;H;NO
Sant Martí de Centelles;4;F;NO
Sant Martí de Tous;6;B;NO
Sant Martí Sarroca;4;B;NO
Sant Martí Sesgueioles;6;C;NO
Sant Mateu de Bages;6;E;NO
Sant Pau de Segúries;7;H;NO
Sant Pere de Ribes;3;A;NO
Sant Pere de Riudebitlles;4;B;NO
Sant Pere de Torelló;6;H;NO
Sant Pere Sallavinera;6;C;NO
Sant Pere de Vilamajor;4;G;NO
Sant Pol de Mar;4;H;NO
Sant Quintí de Mediona;4;B;NO
Sant Quirze de Besora;6;H;NO
Sant Quirze del Vallès;2;C;NO
Sant Quirze Safaja;4;F;NO
Sant Sadurní d'Anoia;3;B;NO
Sant Sadurní d'Osormort;6;F;NO
Sant Salvador de Guardiola;6;E;NO
Sant Vicenç de Castellet;5;E;NO
Sant Vicenç de Montalt;3;E;NO
Sant Vicenç de Torelló;6;H;NO
Sant Vicenç dels Horts;2;B;SI
Santa Coloma de Cervelló;2;B;SI
Santa Coloma de Gramenet;1;;SI
Santa Cecilia de Voltregà;6;H;NO
Santa Eugènia de Berga;6;F;NO
Santa Eulàlia de Riuprimer;6;F;NO
Santa Eulàlia de Ronçana;3;D;NO
Santa Fe del Penedès;4;B;NO
Santa Margarida de Montbui;6;B;NO
Santa Margarida i els Monjos;4;B;NO
Santa Maria de Besora;6;H;NO
Santa Maria de Martorelles;2;D;NO
Santa Maria de Merlès;7;E;NO
Santa Maria de Miralles;5;C;NO
Santa Maria d'Oló;6;E;NO
Santa Maria de Palautordera;4;G;NO
Santa Oliva;5;B;NO
Santa Perpètua de Mogoda;2;D;NO
Santa Susanna;5;H;NO
Santpedor;6;D;NO
Sentmenat;3;D;NO
Setcases;7;H;NO
Seva;5;F;NO
Sitges;3;A;NO
Sobremunt;6;H;NO
Solsona;7;C;NO
Sora;6;H;NO
Subirats;3;B;NO
Súria;6;E;NO
Tagamanent;4;F;NO
Talamanca;5;E;NO
Taradell;5;F;NO
Tavèrnoles;6;F;NO
Tavertet;6;H;NO
Teià;2;E;NO
Terrassa;3;C;NO
Tiana;1;;SI
Tona;5;F;NO
Torà;7;C;NO
Tordera;5;H;NO
Torelló;6;H;NO
La Torre de Claramunt;5;C;NO
Torrelavit;4;B;NO
Torrelles de Foix;4;B;NO
Torrelles de Llobregat;2;B;SI
Toses;7;H;NO
Ullastrell;3;C;NO
Vacarisses;4;E;NO
Vallbona d'Anoia;5;C;NO
Vallcebre;7;F;NO
Vallfogona de Ripollès;7;G;NO
Vallgorguina;4;G;NO
Vallirana;2;B;NO
Vallromanes;2;D;NO
Veciana;6;C;NO
El Vendrell;6;A;NO
Vic;6;F;NO
Vidrà;6;H;NO
Vilada;7;F;NO
Viladecans;1;;SI
Viladecavalls;3;C;NO
Viladrau;5;F;NO
Vilafranca del Penedès;4;B;NO
Vilalba Sasserra;4;G;NO
Vilallonga de Ter;7;H;NO
Vilanova de Sau;6;F;NO
Vilanova del Camí;6;B;NO
Vilanova del Vallès;3;D;NO
Vilanova i la Geltrú;4;A;NO
Vilassar de Dalt;2;E;NO
Vilassar de Mar;2;E;NO
Vilobí del Penedès;4;B;NO
Viver i Serrateix;7;E;NO
